node_id,epoch,accuracy,false_positive_rate,false_negative_rate,avg_rt_error,max_rt_error,peer_agreement_rate,historical_accuracy,accuracy_std_dev,report_consistency,sudden_change_score,ssl_accuracy,uptime_deviation,rt_consistency,is_malicious
0,0,0.3333333333333333,0.0,0.6666666666666666,0.28204214902588925,0.5623415041616232,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.8791611687875018,0.6666666666666667,0.94675526098336,0
1,0,0.6666666666666666,0.0,0.3333333333333333,0.09511458856031689,0.13184172868143174,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.9952629153458146,0.33333333333333337,0.9803076192155814,0
2,0,0.0,0.0,1.0,0.10380944482551367,0.20132752799470036,1.0,0.0,0.0,1.0,0.0,0.9016496256942983,1.0,0.9829494129374458,0
3,0,0.6666666666666666,0.0,0.3333333333333333,0.2684416804179283,0.3307442943737688,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.9270834533133046,0.33333333333333337,0.9487781480231935,0
4,0,0.6666666666666666,0.0,0.3333333333333333,0.14175685142893393,0.33243925987622774,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.8962733623580306,0.33333333333333337,0.9734264031287484,0
5,0,0.6666666666666666,0.0,0.3333333333333333,0.16418004070599598,0.21986378957049285,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.8547150415969554,0.33333333333333337,0.9698994623118398,0
6,0,0.0,0.0,1.0,0.1816755958872099,0.22797334025686813,1.0,0.0,0.0,1.0,0.0,0.9451339029319598,1.0,0.9638018943412916,0
7,0,0.6666666666666666,0.0,0.3333333333333333,0.588294571865558,0.8994193707361731,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.5615820041056183,0.33333333333333337,0.9122747162982779,1
8,0,0.0,0.0,1.0,0.08522285114570592,0.1716898923496575,1.0,0.0,0.0,1.0,0.0,0.7819504039947875,1.0,0.981748491769747,0
9,0,0.3333333333333333,0.0,0.6666666666666666,0.17587582119710812,0.3327294614934216,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.8151519745884876,0.6666666666666667,0.9609704198771245,0
10,0,1.0,0.0,0.0,0.14890873353036982,0.23256229209229023,0.0,1.0,0.0,1.0,0.0,0.8736275210629919,0.0,0.9687701468002348,0
11,0,0.0,0.0,1.0,0.1884600879899513,0.2750715404676999,1.0,0.0,0.0,1.0,0.0,0.7000289111995835,1.0,0.9573041097351631,0
12,0,0.6666666666666666,0.0,0.3333333333333333,0.3531547429092891,0.5615271176359711,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.9505452892671633,0.33333333333333337,0.9602520454332306,0
13,0,0.0,0.0,1.0,0.13904175070125382,0.19382746618564775,1.0,0.0,0.0,1.0,0.0,0.5515865706332497,1.0,0.9754351154961751,1
14,0,0.3333333333333333,0.0,0.6666666666666666,0.5048241992661069,0.7473161868432676,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.7003920110028324,0.6666666666666667,0.9605153862003144,1
