node_id,epoch,is_malicious,peer_agreement_rate,ssl_accuracy,avg_rt_error,report_consistency,sudden_change_score,uptime_deviation,blocks_mined,orphan_blocks,fraud_attempts,gas_price_variance,tx_submitted,itt_jitter,ewma_trust_score,bayesian_confidence,label
0,0,0,0.9487454011884736,0.9479444889206958,0.05198161714019745,0.9461689804070836,0.0468513292883862,0.1206655966909288,0.03448275862068965,2,0,0.006440472200610628,0.0333555703802535,0.10296537290976177,0.805235250313361,0.9675497883850482,0
1,0,0,0.9545071430640991,0.9488509772860192,0.050360963663441206,0.9543983212361347,0.05041900947378358,0.1281184050613273,0.4137931034482759,1,0,0.003188402383564957,0.8545697131420947,0.0998152235151255,0.9031061163374822,0.8394677651103603,0
2,0,0,0.952319939418114,0.9535113667151686,0.04809527616286328,0.9512770805307141,0.05372945835876409,0.1865695586036348,0.103448275862069,1,0,0.008763763046533469,0.3662441627751835,0.09617308188962395,0.7769984766960212,0.8294091650407552,0
3,0,0,0.9509865848419703,0.9481692200515627,0.05313795019706949,0.9483490561465708,0.052322248864095616,0.9108795458537505,0.06896551724137931,10,0,0.2624732804843162,0.5590393595730487,0.09625185792202551,0.2928006432701524,0.9169507065395573,0
4,0,0,0.9465601864044243,0.9466949274668609,0.051847311725538796,0.9463927207266338,0.0530656114786145,0.05790071654279927,0.2413793103448276,0,0,0.007060654379958981,0.8819212808539026,0.10185565287228972,0.914986438376743,0.8231229663468097,0
5,0,0,0.8768474308554839,0.9603038617448895,0.2558634720037963,0.955635109322621,0.01570045603347888,0.1343912390071293,0.2758620689655172,0,0,0.008949266309009787,0.2935290193462308,0.7280244136569175,0.8201673198467452,0.9885345728931187,0
6,0,0,0.953472459437235,0.9654842699519409,0.1485054251496454,0.969104008451785,0.06801923013009223,0.1856473572583729,0.7931034482758621,1,0,0.008293905643206152,0.2181454302868579,0.6976176447829867,0.8846718744917155,0.9563580565782606,0
7,0,0,0.8168259964005102,0.9247770237066008,0.23626784951151095,0.9091502608763526,0.08296939584128553,0.1364159522308787,0.9655172413793104,1,0,0.004847773064752512,0.5110073382254836,0.5691324867250508,0.7983666228827836,0.875989982571187,0
8,0,0,0.8661901808166544,0.9947888471991002,0.18684759770153742,0.9454160215231233,0.006942298434940868,0.1588090699071114,0.2758620689655172,1,0,0.00751853451245359,0.1214142761841227,0.6801149612996048,0.8595045613688553,0.954746952137412,0
9,0,0,0.9277646572864129,0.9858186184259312,0.2597125288217605,0.937091687765798,0.05327786365874886,0.1319452963442766,0.2758620689655172,0,0,0.004065905814824994,0.3935957304869913,0.27288023868537137,0.8399029138451058,0.9580006568934195,0
10,0,0,0.8593399948865709,0.9174753957389654,0.2558490216714995,0.9634666395591707,0.05257939645583433,0.1848946744647453,0.6206896551724138,0,0,0.005881883514801149,0.3195463642428286,0.6015304026201821,0.8293815256802679,0.982799501716564,0
11,0,0,0.981354494453678,0.9089533311939606,0.049670949090878075,0.9698944997534457,0.06460651386350785,0.1900069061234743,0.8620689655172413,0,0,0.005685182522068476,0.733822548365577,0.6745553234068958,0.9142155723398104,0.8836149533192628,0
12,0,0,0.9548161835411799,0.9948098475556635,0.03054352459747932,0.9195617548038184,0.024570846028041993,0.195369091003521,1.0,2,0,0.005566531738533594,0.4389593062041361,0.6927213334860943,0.8660505228354624,0.8158234830539114,0
